country,year,greenhouse_gas_emissions,renewables_share_energy,solar_electricity,wind_electricity,hydro_electricity
Africa,2000,273.9700012207031,6.812817573547363,0.0099999997764825,0.1700000017881393,74.8499984741211
Africa,2001,284.7200012207031,7.023974418640137,0.0099999997764825,0.4199999868869781,80.30000305175781
Africa,2002,300.9599914550781,7.235608100891113,0.0099999997764825,0.4399999976158142,84.5999984741211
Africa,2003,318.54998779296875,6.731312274932861,0.0099999997764825,0.5299999713897705,82.01000213623047
Africa,2004,336.9700012207031,6.53521203994751,0.0199999995529651,0.7599999904632568,86.54000091552734
Africa,2005,350.5500183105469,6.644129753112793,0.0199999995529651,0.7799999713897705,89.48999786376953
Africa,2006,368.2300109863281,6.759122371673584,0.0299999993294477,0.8500000238418579,92.62000274658205
Africa,2007,382.739990234375,6.676439762115479,0.0299999993294477,1.0099999904632568,95.5500030517578
Africa,2008,386.6900024414063,6.375640392303467,0.0399999991059303,1.3100000619888306,96.94000244140624
Africa,2009,384.010009765625,6.45454740524292,0.0700000002980232,1.5999999046325684,100.6500015258789
Africa,2010,411.16998291015625,6.735987663269043,0.2199999988079071,2.2799999713897705,109.2699966430664
Africa,2011,420.739990234375,6.8191914558410645,0.5699999928474426,2.4100000858306885,112.0999984741211
Africa,2012,442.2200012207031,6.5544257164001465,0.949999988079071,2.59000015258789,114.56999969482422
Africa,2013,447.8699951171875,6.702683448791504,0.75,3.830000162124634,118.22000122070312
Africa,2014,459.6600036621094,6.997135162353516,1.850000023841858,5.170000076293945,124.29999542236328
Africa,2015,472.1199951171875,7.02266788482666,3.5999999046325684,8.979999542236328,122.38999938964844
Africa,2016,479.3599853515625,6.932607173919678,4.980000019073486,11.210000038146973,120.81999969482422
Africa,2017,485.9800109863281,7.17943811416626,7.079999923706055,13.4399995803833,126.4000015258789
Africa,2018,499.75,7.59857702255249,8.489999771118164,14.880000114440918,136.66000366210938
Africa,2019,503.6100158691406,7.840519905090332,11.0600004196167,19.520000457763672,140.9199981689453
Africa,2020,486.1799926757813,8.819854736328125,15.269999504089355,19.1299991607666,148.36000061035156
Africa,2021,504.4500122070313,8.715218544006348,18.81999969482422,23.19999885559082,155.5500030517578
Africa,2022,507.2099914550781,8.920485496520996,24.11000061035156,25.040000915527344,163.3300018310547
Algeria,2000,16.219999313354492,0.0500106699764728,0.0,0.0,0.050000000745058
Algeria,2001,16.989999771118164,0.0613279342651367,0.0,0.0,0.0700000002980232
Algeria,2002,17.639999389648438,0.0485072433948516,0.0,0.0,0.0599999986588954
Algeria,2003,18.75,0.2143433988094329,0.0,0.0,0.2599999904632568
Algeria,2004,19.82999992370605,0.1944950670003891,0.0,0.0,0.25
Algeria,2005,21.34000015258789,0.4076589345932007,0.0,0.0,0.550000011920929
Algeria,2006,22.399999618530277,0.1534400582313537,0.0,0.0,0.2199999988079071
Algeria,2007,23.649999618530277,0.1504157036542892,0.0,0.0,0.2199999988079071
Algeria,2008,25.559999465942383,0.1763133406639099,0.0,0.0,0.2800000011920929
Algeria,2009,24.43000030517578,0.2000075876712799,0.0,0.0,0.3000000119209289
Algeria,2010,29.1299991607666,0.1080314293503761,0.0,0.0,0.1700000017881393
Algeria,2011,32.439998626708984,0.2209660559892654,0.0,0.0,0.5
Algeria,2012,36.31999969482422,0.2110803425312042,0.0,0.0,0.6200000047683716
Algeria,2013,38.09000015258789,0.0607765018939971,0.0,0.0,0.3300000131130218
Algeria,2014,40.93999862670898,0.1103725954890251,0.0,0.0,0.25
Algeria,2015,43.880001068115234,0.0910188481211662,0.0599999986588954,0.0199999995529651,0.1400000005960464
Algeria,2016,45.209999084472656,0.1368611305952072,0.0900000035762786,0.0299999993294477,0.2199999988079071
Algeria,2017,48.2400016784668,0.232082262635231,0.5699999928474426,0.0099999997764825,0.0599999986588954
Algeria,2018,48.560001373291016,0.2712335288524627,0.6899999976158142,0.0099999997764825,0.1199999973177909
Algeria,2019,51.63999938964844,0.2770384550094604,0.7099999785423279,0.0099999997764825,0.1500000059604644
